offer_id_local;page_no;offer_id;psu_power;psu_standard;psu_cert;offer_url;price;brand;rating;model;offer_title;bought;votes
284;6;11094168891;650;ATX;Gold;https://allegro.pl/oferta/zasilacz-silentium-pc-supremo-fm2-650-w-11094168891;508,23;SilentiumPC;4.99;Supremo FM2 Gold 650W;;0;
285;6;11543858002;300;ATX;Bronze;https://allegro.pl/oferta/zasilacz-be-quiet-pure-power-11-300w-80-bronze-11543858002;204,99;be quiet!;5.0;Pure Power 11;;0;
286;6;10023009358;750;ATX;Gold;https://allegro.pl/oferta/zasilacz-gigabyte-aorus-gp-ap750gm-750w-10023009358;509,99;Gigabyte;5.0;Aorus GP-AP750GM 750W;;0;
287;6;9938306665;650;ATX;Bronze;https://allegro.pl/oferta/zasilacz-cooler-master-mwe-650w-v2-80-bronze-9938306665;269,00;Cooler Master;5.0;MPE-6501-ACABW-BEU;;0;
288;6;7144353705;1000;ATX;Platinum;https://allegro.pl/oferta/zasilacz-modularny-lc-power-platinum-1000w-atx-80-7144353705;1;LC-Power;5.0;Platinum Series;;0;
289;6;11653029478;530;ATX;Gold;https://allegro.pl/oferta/zasilacz-smart-se-530w-modular-sprawnosc-11653029478;329,81;Thermaltake;5.0;Smart SE Gold;;0;
290;6;11098389062;1000;ATX;Gold;https://allegro.pl/oferta/zasilacz-komputerowy-pc-seasonic-prime-g1000w-11098389062;1;Seasonic;5.0;ZASILACZ PC;;0;
291;6;11132636635;650;ATX;Gold;https://allegro.pl/oferta/zasilacz-corsair-rm650-650w-80plus-gold-atx-2021-11132636635;499,00;Corsair;;RM650 (2021);;0;
292;6;11774319571;430;ATX;Bronze;https://allegro.pl/oferta/zasilacz-thermaltake-w0391re-430-w-11774319571;277,30;Thermaltake;;W0391RE;;0;
293;6;11222048770;1000;ATX;Gold;https://allegro.pl/oferta/zasilacz-corsair-rm1000x-1000w-80-gold-atx-2021-11222048770;989,00;Corsair;4.55;RM1000x;;0;
294;6;11140822354;650;ATX;Bronze;https://allegro.pl/oferta/zasilacz-corsair-cx650m-650w-80plus-bronze-atx-11140822354;399,00;Corsair;;CX650M;;0;
295;6;10189093793;700;ATX;Gold;https://allegro.pl/oferta/zasilacz-be-quiet-pure-power-11-700w-10189093793;409,00;be quiet!;5.0;BN295;;4;
296;6;10884801276;750;ATX;Bronze;https://allegro.pl/oferta/zasilacz-corsair-cx750f-750w-rgb-bronze-10884801276;439,00;Corsair;5.0;CX750F RGB Bronze;;0;
297;6;10704252005;850;ATX;Titanium;https://allegro.pl/oferta/zasilacz-be-quiet-straight-power-11-platinum-850w-10704252005;827,00;;;;;;
